subrand,ibu,abv (%),corpo,aroma,tipo,
BIRRA DEL BORGO,20,5,1,0,40,0
BUD,10,5,0,0,2,0
CAMDEN HELLS,29,4.6,0,0,2,0
CAMDEN PALE ALE,39,4,1,5,40,25
CORONA EXTRA,18,4.6,0,0,2,0
GINETTE BLANCHE,12,5,0,0,41,0
GINETTE BLONDE,29,5,2,0,40,0
GINETTE FRUIT,12,4,1,5,20,25
GINETTE LAGER,25,4.5,0,0,2,0
GINETTE TRIPLE,15,9,1,10,44,50
GOOSE,55,5.9,1,5,45,25
HOEGARDEN GRAND CRU,35,8.5,1,5,46,25
HOEGAARDEN ROSE,5,3,2,5,20,25
HOEGAARDEN WHITE,15,4.9,0,5,41,25
KWAK,16,8.4,2,5,46,25
LEFFE AMBREE,25,6.6,1,15,40,75
LEFFE BLONDE,21.5,6.6,0,15,42,75
LEFFE BLONDE 0.0,10,0,0,10,42,50
LEFFE BRUNE,20,6.5,0,15,43,75
LEFFE LA LEGERE,17,5,0,15,2,75
LEFFE RITUEL 9,25,9,2,15,46,75
LEFFE ROYALE,33,7.5,1,5,42,25
LEFFE RUBY,10,5,0,5,20,25
LEFFE TRIPLE,15,8.5,1,5,44,25
TRIPLE KARMELIET,31,8.4,1,15,44,75
