Doc. Date,Postal Code,Sous groupement,Subrand,Latitude,Longitude,TTC
2021-02-22 00:00:00,85700,VINS REMY LIBOUREAU,TRIPLE KARMELIET,46.8354,-0.7778,21.996
2021-02-22 00:00:00,85700,VINS REMY LIBOUREAU,KWAK,46.8354,-0.7778,18.0936
2021-02-22 00:00:00,85700,VINS REMY LIBOUREAU,LEFFE BRUNE,46.8354,-0.7778,18.673704
2021-02-22 00:00:00,85700,VINS REMY LIBOUREAU,LEFFE ROYALE,46.8354,-0.7778,22.774752
2021-02-22 00:00:00,83630,OLIVIER FRERES,BUD,43.733,6.1765,15.7747752
2021-02-22 00:00:00,83630,OLIVIER FRERES,TRIPLE KARMELIET,43.733,6.1765,21.996
2021-02-22 00:00:00,83630,OLIVIER FRERES,KWAK,43.733,6.1765,18.0936
2021-02-22 00:00:00,83630,OLIVIER FRERES,LEFFE AMBREE,43.733,6.1765,22.4016912
2021-02-22 00:00:00,83630,OLIVIER FRERES,LEFFE BLONDE,43.733,6.1765,17.5390992
2021-02-22 00:00:00,83630,OLIVIER FRERES,LEFFE ROYALE,43.733,6.1765,22.774752
2021-02-22 00:00:00,83630,OLIVIER FRERES,LEFFE RITUEL 9°,43.733,6.1765,22.774752
2021-02-22 00:00:00,83630,OLIVIER FRERES,LEFFE ROYALE,43.733,6.1765,22.774752
2021-02-19 00:00:00,62500,SODIBOISSONS,LEFFE BLONDE,50.7518,2.2405,17.5390992
2021-02-19 00:00:00,62500,SODIBOISSONS,HOEGAARDEN WHITE,50.7518,2.2405,16.2896832
2021-02-19 00:00:00,62500,SODIBOISSONS,LEFFE RUBY,50.7518,2.2405,22.774752
2021-02-19 00:00:00,62500,SODIBOISSONS,LEFFE RITUEL 9°,50.7518,2.2405,22.774752
2021-02-19 00:00:00,53200,NEODIF,LEFFE AMBREE,47.7993,-0.721,23.046516
2021-02-19 00:00:00,53200,NEODIF,KWAK,47.7993,-0.721,18.0936
2021-02-19 00:00:00,53200,NEODIF,TRIPLE KARMELIET,47.7993,-0.721,21.996
2021-02-19 00:00:00,53200,NEODIF,GOOSE,47.7993,-0.721,22.6512
2021-02-19 00:00:00,53200,NEODIF,LEFFE BLONDE,47.7993,-0.721,18.0065592
2021-02-19 00:00:00,53200,NEODIF,HOEGAARDEN WHITE,47.7993,-0.721,16.758576
2021-02-19 00:00:00,53200,NEODIF,LEFFE RUBY,47.7993,-0.721,24.1011936
2021-02-18 00:00:00,56500,COZIGOU  ,BUD,47.8546,-2.8348,15.7747752
2021-02-18 00:00:00,56500,COZIGOU  ,LEFFE RITUEL 9°,47.8546,-2.8348,22.774752
2021-02-18 00:00:00,56500,COZIGOU  ,LEFFE RUBY,47.8546,-2.8348,22.774752
2021-02-18 00:00:00,56500,COZIGOU  ,LEFFE ROYALE,47.8546,-2.8348,22.774752
2021-02-18 00:00:00,56500,COZIGOU  ,LEFFE ROYALE,47.8546,-2.8348,22.774752
2021-02-18 00:00:00,56500,COZIGOU  ,TRIPLE KARMELIET,47.8546,-2.8348,21.996
2021-02-18 00:00:00,56500,COZIGOU  ,KWAK,47.8546,-2.8348,18.0936
2021-02-18 00:00:00,56500,COZIGOU  ,GOOSE,47.8546,-2.8348,22.6512
2021-02-18 00:00:00,56500,COZIGOU  ,LEFFE BRUNE,47.8546,-2.8348,18.673704
2021-02-18 00:00:00,59193,VANDENDRIESSCHE,BUD,50.676,2.8451,15.7747752
2021-02-18 00:00:00,59193,VANDENDRIESSCHE,TRIPLE KARMELIET,50.676,2.8451,21.996
2021-02-18 00:00:00,59193,VANDENDRIESSCHE,LEFFE ROYALE,50.676,2.8451,22.774752
2021-02-18 00:00:00,59193,VANDENDRIESSCHE,LEFFE BLONDE,50.676,2.8451,17.5390992
2021-02-18 00:00:00,59193,VANDENDRIESSCHE,LEFFE LA LEGERE,50.676,2.8451,16.2462672
2021-02-18 00:00:00,49620,ETS PLUMEJEAU,GOOSE,47.3556,-0.8589,22.6512
2021-02-18 00:00:00,49620,ETS PLUMEJEAU,LEFFE AMBREE,47.3556,-0.8589,22.4016912
2021-02-18 00:00:00,49620,ETS PLUMEJEAU,KWAK,47.3556,-0.8589,18.0936
2021-02-18 00:00:00,49620,ETS PLUMEJEAU,LEFFE ROYALE,47.3556,-0.8589,22.774752
