Doc. Date;Order qty;PCS delivered;HL delivered;MACO/HL ;Postal Code;Sous groupement;Subrand;Container Type;Unidade Container;Container Size;Latitude;Longitude;TTC;Preço/L;Container Size 2
11/01/2021;5;350;21;150.689825;59160;France BOISSONS;LEFFE BLONDE;PERFECT DRAFT;1;6;50.6455;2.9619;18.137448;3.022908;6
11/01/2021;1;70;4.2;195.3340351;59160;France BOISSONS;TRIPLE KARMELIET;PERFECT DRAFT;1;6;50.6455;2.9619;21.996;3.666;6
08/01/2021;70;70;4.2;195.3340351;62570;ALLAN;TRIPLE KARMELIET;PERFECT DRAFT;1;6;50.6978;2.2423;21.996;3.666;6
08/01/2021;140;140;8.4;150.689825;62570;ALLAN;LEFFE BLONDE;PERFECT DRAFT;1;6;50.6978;2.2423;18.6984;3.1164;6
11/01/2021;70;70;4.2;186.7078982;70110;DAMIDEAUX MICHEL BOISSONS;GOOSE;PERFECT DRAFT;1;6;47.5382;6.4026;22.6512;3.7752;6
11/01/2021;210;210;12.6;140.097307;70110;DAMIDEAUX MICHEL BOISSONS;HOEGAARDEN WHITE;PERFECT DRAFT;1;6;47.5382;6.4026;16.2896832;2.7149472;6
11/01/2021;70;70;4.2;167.1285306;70110;DAMIDEAUX MICHEL BOISSONS;HOEGAARDEN ROSEE;PERFECT DRAFT;1;6;47.5382;6.4026;19.09908;3.18318;6
11/01/2021;700;700;42;150.689825;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE BLONDE;PERFECT DRAFT;1;6;47.5382;6.4026;17.5390992;2.9231832;6
11/01/2021;140;140;8.4;195.5874479;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE RUBY;PERFECT DRAFT;1;6;47.5382;6.4026;22.774752;3.795792;6
11/01/2021;10;10;0.792;186.9042007;70110;DAMIDEAUX MICHEL BOISSONS;TRIPLE KARMELIET;BOTTLE VC;24;0.33;47.5382;6.4026;28.4544;3.592727273;7.92
11/01/2021;70;70;4.2;127.984305;83630;OLIVIER FRERES;BUD;PERFECT DRAFT;1;6;43.733;6.1765;15.7747752;2.6291292;6
11/01/2021;140;140;8.4;186.7078982;83630;OLIVIER FRERES;GOOSE;PERFECT DRAFT;1;6;43.733;6.1765;22.6512;3.7752;6
11/01/2021;210;210;12.6;195.3340351;83630;OLIVIER FRERES;TRIPLE KARMELIET;PERFECT DRAFT;1;6;43.733;6.1765;21.996;3.666;6
11/01/2021;70;70;4.2;128.264406;83630;OLIVIER FRERES;KWAK;PERFECT DRAFT;1;6;43.733;6.1765;18.0936;3.0156;6
11/01/2021;70;70;4.2;208.8988426;83630;OLIVIER FRERES;LEFFE AMBREE;PERFECT DRAFT;1;6;43.733;6.1765;22.4016912;3.7336152;6
11/01/2021;70;70;4.2;217.4492633;83630;OLIVIER FRERES;LEFFE RITUEL 9;PERFECT DRAFT;1;6;43.733;6.1765;22.774752;3.795792;6
11/01/2021;40;40;2.4;127.984305;85700;VINS REMY LIBOUREAU;BUD;PERFECT DRAFT;1;6;46.8354;-0.7778;15.7747752;2.6291292;6
11/01/2021;70;70;4.2;195.3340351;85700;VINS REMY LIBOUREAU;TRIPLE KARMELIET;PERFECT DRAFT;1;6;46.8354;-0.7778;21.996;3.666;6
11/01/2021;10;10;0.6;211.631664;59270;ENTREPOTS DES FLANDRES;LEFFE ROYALE;PERFECT DRAFT;1;6;50.7263;2.6309;22.774752;3.795792;6
11/01/2021;140;140;8.4;150.689825;59270;ENTREPOTS DES FLANDRES;LEFFE BLONDE;PERFECT DRAFT;1;6;50.7263;2.6309;17.5390992;2.9231832;6
11/01/2021;70;70;4.2;195.3340351;59270;ENTREPOTS DES FLANDRES;TRIPLE KARMELIET;PERFECT DRAFT;1;6;50.7263;2.6309;21.996;3.666;6
11/01/2021;20;20;1.2;195.5874479;59270;ENTREPOTS DES FLANDRES;LEFFE RUBY;PERFECT DRAFT;1;6;50.7263;2.6309;22.774752;3.795792;6
11/01/2021;50;50;3;128.264406;59270;ENTREPOTS DES FLANDRES;KWAK;PERFECT DRAFT;1;6;50.7263;2.6309;18.0936;3.0156;6
11/01/2021;20;20;1.2;217.4492633;59270;ENTREPOTS DES FLANDRES;LEFFE RITUEL 9;PERFECT DRAFT;1;6;50.7263;2.6309;22.774752;3.795792;6
11/01/2021;20;20;1.2;224.5997572;59270;ENTREPOTS DES FLANDRES;LEFFE ROYALE;PERFECT DRAFT;1;6;50.7263;2.6309;22.774752;3.795792;6
11/01/2021;20;20;1.2;186.7078982;59270;ENTREPOTS DES FLANDRES;GOOSE;PERFECT DRAFT;1;6;50.7263;2.6309;22.6512;3.7752;6
11/01/2021;70;70;4.2;140.097307;70300;BURGEY ROBERT ET FILS;HOEGAARDEN WHITE;PERFECT DRAFT;1;6;47.7954;6.4907;16.2896832;2.7149472;6
11/01/2021;210;210;12.6;150.689825;70300;BURGEY ROBERT ET FILS;LEFFE BLONDE;PERFECT DRAFT;1;6;47.7954;6.4907;17.5390992;2.9231832;6
11/01/2021;70;70;4.2;195.3340351;70300;BURGEY ROBERT ET FILS;TRIPLE KARMELIET;PERFECT DRAFT;1;6;47.7954;6.4907;21.996;3.666;6
12/01/2021;910;910;54.6;128.264406;62120;BEDAGUE;KWAK;PERFECT DRAFT;1;6;50.6177;2.3964;18.0936;3.0156;6
12/01/2021;350;350;21;140.097307;62120;BEDAGUE;HOEGAARDEN WHITE;PERFECT DRAFT;1;6;50.6177;2.3964;16.2896832;2.7149472;6
12/01/2021;140;140;8.4;195.5874479;62120;BEDAGUE;LEFFE RUBY;PERFECT DRAFT;1;6;50.6177;2.3964;22.774752;3.795792;6
12/01/2021;280;280;16.8;150.689825;62120;BEDAGUE;LEFFE BLONDE;PERFECT DRAFT;1;6;50.6177;2.3964;17.5390992;2.9231832;6
12/01/2021;1820;1820;109.2;150.689825;62120;BEDAGUE;LEFFE BLONDE;PERFECT DRAFT;1;6;50.6177;2.3964;17.5390992;2.9231832;6
12/01/2021;280;280;16.8;195.3340351;2500;B.B.C.D. (Hirson);TRIPLE KARMELIET;PERFECT DRAFT;1;6;49.827;4.2107;21.952008;3.658668;6
12/01/2021;70;70;4.2;128.264406;2500;B.B.C.D. (Hirson);KWAK;PERFECT DRAFT;1;6;49.827;4.2107;18.0574128;3.0095688;6
12/01/2021;490;490;29.4;150.689825;2500;B.B.C.D. (Hirson);LEFFE BLONDE;PERFECT DRAFT;1;6;49.827;4.2107;17.8943688;2.9823948;6
